vehicle,serial,departure,arrival,duration_min,origin,destination,origin_lat,origin_lng,destination_lat,destination_lng,miles,straight_miles,efficiency_ratio,efficiency
RPS 933-090 12 LR,0470009730,2026-07-29 10:01:12,2026-07-29 10:30:31,29.3,"Centro Médico de Puerto Rico (Hospital), San Juan, Puerto Rico, 00927","A-3 Calle Azahar, Calle Azahar, Guaynabo, Puerto Rico, 00969",18.395226,-66.073476,18.358108,-66.12136,6.34,4.05,1.56,Revisar
RPS 996-332 21 EP,0470009726,2026-07-29 10:08:29,2026-07-29 10:08:29,0.0,"Service, Lares, Puerto Rico, 00669","Service, Lares, Puerto Rico, 00669",18.29923,-66.863518,18.29923,-66.863518,0,0.0,,Sin distancia suficiente
RPS 933-089 11 EO,0470009731,2026-07-29 10:08:30,2026-07-29 10:19:37,11.1,"Carretera Militar (Secondary, PR-2), Manati, Puerto Rico, 00674","Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",18.427866,-66.498041,18.424398,-66.47557,1.85,1.49,1.24,Eficiente
RPS 994-204 20 RR,0470009744,2026-07-29 10:14:54,2026-07-29 10:31:09,16.2,"Calle Cervantes (Residential), San Juan, Puerto Rico, 00907","Calle Constitución (Residential), San Juan, Puerto Rico, 00920",18.456341,-66.068966,18.406978,-66.085086,4.56,3.57,1.28,Eficiente
RPS 994-209 19 MD,0470009727,2026-07-29 10:32:36,2026-07-29 10:35:13,2.6,"PR-7780 (Tertiary), Comerio, Puerto Rico, 00782","PR-813 (Tertiary), Naranjito, Puerto Rico, 00719",18.256756,-66.219169,18.271663,-66.238318,3.36,1.62,2.07,Ineficiente
RPS IRK-578 17 AM,0470009725,2026-07-29 10:37:48,2026-07-29 12:32:23,114.6,"Residential, Juana Diaz, Puerto Rico, 00795","Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",18.056338,-66.495753,18.424383,-66.475538,67.68,25.46,2.66,Ineficiente
RPS 994-204 20 RR,0470009744,2026-07-29 10:41:52,2026-07-29 11:34:54,53.0,"Calle Constitución (Residential), San Juan, Puerto Rico, 00920","Roof, Carretera Militar, Manatí, Puerto Rico, 00674",18.406975,-66.085133,18.432178,-66.476866,29.6,25.74,1.15,Eficiente
RPS 933-091 13 ME,0470009728,2026-07-29 10:47:26,2026-07-29 11:20:58,33.5,"Camino África (Residential), Corozal, Puerto Rico, 00783","Residential, Naranjito, Puerto Rico, 00719",18.291493,-66.33607,18.254543,-66.260771,8.93,5.56,1.61,Revisar
RPS 933-090 12 LR,0470009730,2026-07-29 10:47:38,2026-07-29 11:00:17,12.7,"A-3 Calle Azahar, Calle Azahar, Guaynabo, Puerto Rico, 00969","Calle José Fidalgo Díaz (Residential), San Juan, Puerto Rico, 00926",18.358108,-66.121359,18.35388,-66.07971,3.38,2.75,1.23,Eficiente
RPS 994-209 19 MD,0470009727,2026-07-29 10:48:14,2026-07-29 11:25:15,37.0,"PR-813 (Tertiary), Naranjito, Puerto Rico, 00719","Roof, Carretera Naranjito - Toa Alta, Toa Alta, Puerto Rico, 00953",18.271663,-66.238318,18.38503,-66.253276,14.28,7.89,1.81,Ineficiente
RPS-985-742-18 ER,0470009732,2026-07-29 10:50:10,2026-07-29 10:57:03,6.9,"Roof, Carretera Militar, Manatí, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.432168,-66.476865,18.424746,-66.475438,0.74,0.52,1.41,Revisar
RPS 996-332 21 EP,0470009726,2026-07-29 11:01:30,2026-07-29 11:22:30,21.0,"Service, Arecibo, Puerto Rico, 00652","Residential, Manati, Puerto Rico, 00674",18.443522,-66.622453,18.424735,-66.47542,11.4,9.72,1.17,Eficiente
RPS-985-742-18 ER,0470009732,2026-07-29 11:03:24,2026-07-29 11:14:11,10.8,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.424746,-66.475438,18.424438,-66.475396,0.05,0.02,,Sin distancia suficiente
RPS 994-209 19 MD,0470009727,2026-07-29 11:31:27,2026-07-29 12:05:09,33.7,"Roof, Carretera Naranjito - Toa Alta, Toa Alta, Puerto Rico, 00953","Residential, Manati, Puerto Rico, 00674",18.38503,-66.253276,18.424438,-66.475513,19.36,14.82,1.31,Eficiente
RPS 996-332 21 EP,0470009726,2026-07-29 11:36:06,2026-07-29 11:50:44,14.6,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.424733,-66.475421,18.42447,-66.475463,0.05,0.02,,Sin distancia suficiente
RPS 994-204 20 RR,0470009744,2026-07-29 11:41:30,2026-07-29 11:45:14,3.7,"Roof, Carretera Militar, Manatí, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.43218,-66.476866,18.424718,-66.475438,0.73,0.52,1.4,Revisar
RPS 994-204 20 RR,0470009744,2026-07-29 11:48:21,2026-07-29 11:48:56,0.6,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.42472,-66.475438,18.424613,-66.475463,0.02,0.01,,Sin distancia suficiente
RPS 933-090 12 LR,0470009730,2026-07-29 12:02:54,2026-07-29 12:49:25,46.5,"Calle José Fidalgo Díaz (Residential), San Juan, Puerto Rico, 00926","PR-9921 (Tertiary, PR-9921;PR-921R), Las Piedras, Puerto Rico, 00771",18.35388,-66.07971,18.156496,-65.863046,24.22,19.7,1.23,Eficiente
RPS 1038729 - LV,866846053691563,2026-07-29 12:29:13,2026-07-29 13:59:54,90.7,"Residential, San Juan, Puerto Rico, 00926","Residential, Vega Baja, Puerto Rico, 00693",18.3300066,-66.0468133,18.4816233,-66.4234633,0.02,26.82,0.0,Eficiente
RPS 933-091 13 ME,0470009728,2026-07-29 12:34:18,2026-07-29 13:58:05,83.8,"Calle Rubí (Residential), Comerio, Puerto Rico, 00782","Calle 4 (Residential), Vega Alta, Puerto Rico, 00692",18.213951,-66.245365,18.47716,-66.348079,32.33,19.39,1.67,Revisar
RPS 994-209 19 MD,0470009727,2026-07-29 12:49:00,2026-07-29 12:52:11,3.2,"Residential, Manati, Puerto Rico, 00674","Residential, Manati, Puerto Rico, 00674",18.424438,-66.475513,18.424428,-66.475503,0.26,0.0,,Sin distancia suficiente
RPS 933-090 12 LR,0470009730,2026-07-29 12:58:26,2026-07-29 13:15:14,16.8,"PR-9921 (Tertiary, PR-9921;PR-921R), Las Piedras, Puerto Rico, 00771","Residential, Yabucoa, Puerto Rico, 00767",18.156496,-65.863049,18.099373,-65.899453,6.35,4.61,1.38,Revisar
RPS 1038729 - LV,866846053691563,2026-07-29 14:19:05,2026-07-29 14:30:58,11.9,"Residential, Vega Baja, Puerto Rico, 00693","Residential, Vega Baja, Puerto Rico, 00693",18.4816233,-66.4234633,18.4827266,-66.4287616,0.0,0.36,0.0,Eficiente
